Brand,Keyword,Country,Tier,Volume_Google,Volume_Ahrefs,Trend_Percent,My_Sites,Total_Volume
0X casino,0X casino,AR,Tier3,0,0,0,0,0
0X casino,0X casino,BR,Tier3,0,0,0,0,0
0X casino,0X casino,CZ,Tier2,0,10,0,0,10
0X casino,0X casino,DK,Tier1,0,0,0,0,0
0X casino,0X casino,ES,Tier1,0,0,0,0,0
0X casino,0X casino,FR,Tier2,0,10,0,0,10
0X casino,0X casino,GB,Tier1,0,300,0,0,300
0X casino,0X casino,HU,Tier2,0,0,0,0,0
0X casino,0X casino,IN,Tier3,0,0,0,0,0
0X casino,0X casino,IT,Tier1,0,40,0,0,40
0X casino,0X casino,JP,Tier2,0,0,0,0,0
0X casino,0X casino,MX,Tier3,0,0,0,0,0
0X casino,0X casino,NL,Tier1,0,150,0,0,150
0X casino,0X casino,PL,Tier2,0,0,0,0,0
0X casino,0X casino,UZ,Tier3,0,0,0,0,0
0X casino,0Xcasino,AR,Tier3,0,0,0,0,0
0X casino,0Xcasino,BR,Tier3,0,0,0,0,0
0X casino,0Xcasino,CZ,Tier2,0,0,0,0,0
0X casino,0Xcasino,DK,Tier1,0,0,0,0,0
0X casino,0Xcasino,ES,Tier1,0,0,0,0,0
0X casino,0Xcasino,FR,Tier2,0,0,0,0,0
0X casino,0Xcasino,GB,Tier1,0,0,0,0,0
0X casino,0Xcasino,HU,Tier2,0,0,0,0,0
0X casino,0Xcasino,IN,Tier3,0,0,0,0,0
0X casino,0Xcasino,IT,Tier1,0,0,0,0,0
0X casino,0Xcasino,JP,Tier2,0,0,0,0,0
0X casino,0Xcasino,MX,Tier3,0,0,0,0,0
0X casino,0Xcasino,NL,Tier1,0,0,0,0,0
0X casino,0Xcasino,PL,Tier2,0,0,0,0,0
0X casino,0Xcasino,UZ,Tier3,0,0,0,0,0
10 bet,10 bet,AR,Tier3,20,20,100,0,40
10 bet,10 bet,BR,Tier3,6600,2100,-33,0,8700
10 bet,10 bet,CZ,Tier2,10,10,0,0,20
10 bet,10 bet,DK,Tier1,10,0,0,0,10
10 bet,10 bet,ES,Tier1,110,50,267,0,160
10 bet,10 bet,FR,Tier2,10,50,-67,0,60
10 bet,10 bet,GB,Tier1,9900,4400,0,0,14300
10 bet,10 bet,HU,Tier2,10,10,0,0,20
10 bet,10 bet,IN,Tier3,90,150,-18,0,240
10 bet,10 bet,IT,Tier1,20,30,100,0,50
10 bet,10 bet,JP,Tier2,10,10,0,0,20
10 bet,10 bet,MX,Tier3,3600,2400,24,0,6000
10 bet,10 bet,NL,Tier1,10,20,0,0,30
10 bet,10 bet,PL,Tier2,10,10,0,0,20
10 bet,10 bet,UZ,Tier3,70,10,600,0,80
10 bet,10 bet casino,AR,Tier3,40,10,100,0,50
10 bet,10 bet casino,BR,Tier3,6600,450,83,0,7050
10 bet,10 bet casino,CZ,Tier2,90,0,800,0,90
10 bet,10 bet casino,DK,Tier1,10,0,0,0,10
10 bet,10 bet casino,ES,Tier1,260,20,1200,0,280
10 bet,10 bet casino,FR,Tier2,10,0,0,0,10
10 bet,10 bet casino,GB,Tier1,3600,700,0,0,4300
10 bet,10 bet casino,HU,Tier2,10,0,0,0,10
10 bet,10 bet casino,IN,Tier3,50,30,-29,0,80
10 bet,10 bet casino,IT,Tier1,10,10,0,0,20
10 bet,10 bet casino,JP,Tier2,10,0,0,0,10
10 bet,10 bet casino,MX,Tier3,1900,250,0,0,2150
10 bet,10 bet casino,NL,Tier1,20,20,100,0,40
10 bet,10 bet casino,PL,Tier2,10,0,0,0,10
10 bet,10 bet casino,UZ,Tier3,10,0,0,0,10
10 bet,10bet,AR,Tier3,170,150,21,0,320
10 bet,10bet,BR,Tier3,60500,35000,-33,0,95500
10 bet,10bet,CZ,Tier2,50,50,25,0,100
10 bet,10bet,DK,Tier1,30,40,-40,0,70
10 bet,10bet,ES,Tier1,480,300,0,0,780
10 bet,10bet,FR,Tier2,170,200,55,0,370
10 bet,10bet,GB,Tier1,60500,32000,22,0,92500
10 bet,10bet,HU,Tier2,40,60,0,0,100
10 bet,10bet,IN,Tier3,1900,2400,19,0,4300
10 bet,10bet,IT,Tier1,210,100,50,0,310
10 bet,10bet,JP,Tier2,590,4200,0,0,4790
10 bet,10bet,MX,Tier3,9900,6600,0,0,16500
10 bet,10bet,NL,Tier1,140,30,0,0,170
10 bet,10bet,PL,Tier2,170,40,21,0,210
10 bet,10bet,UZ,Tier3,40,30,300,0,70
10 bet,10bet casino,AR,Tier3,0,30,0,0,30
10 bet,10bet casino,BR,Tier3,0,3800,0,0,3800
10 bet,10bet casino,CZ,Tier2,0,30,0,0,30
10 bet,10bet casino,DK,Tier1,0,0,0,0,0
10 bet,10bet casino,ES,Tier1,0,40,0,0,40
10 bet,10bet casino,FR,Tier2,0,20,0,0,20
10 bet,10bet casino,GB,Tier1,0,2100,0,0,2100
10 bet,10bet casino,HU,Tier2,0,10,0,0,10
10 bet,10bet casino,IN,Tier3,0,150,0,0,150
10 bet,10bet casino,IT,Tier1,0,30,0,0,30
10 bet,10bet casino,JP,Tier2,0,10,0,0,10
10 bet,10bet casino,MX,Tier3,0,1100,0,0,1100
10 bet,10bet casino,NL,Tier1,0,30,0,0,30
10 bet,10bet casino,PL,Tier2,0,20,0,0,20
10 bet,10bet casino,UZ,Tier3,0,10,0,0,10
100pudov casino,100pudov casino,AR,Tier3,0,0,0,0,0
100pudov casino,100pudov casino,BR,Tier3,0,0,0,0,0
100pudov casino,100pudov casino,CZ,Tier2,0,0,0,0,0
100pudov casino,100pudov casino,DK,Tier1,0,0,0,0,0
100pudov casino,100pudov casino,ES,Tier1,0,0,0,0,0
100pudov casino,100pudov casino,FR,Tier2,0,0,0,0,0
100pudov casino,100pudov casino,GB,Tier1,0,0,-100,0,0
100pudov casino,100pudov casino,HU,Tier2,0,0,0,0,0
100pudov casino,100pudov casino,IN,Tier3,0,0,0,0,0
100pudov casino,100pudov casino,IT,Tier1,0,0,0,0,0
100pudov casino,100pudov casino,JP,Tier2,0,0,0,0,0
100pudov casino,100pudov casino,MX,Tier3,0,0,0,0,0
100pudov casino,100pudov casino,NL,Tier1,0,0,0,0,0
100pudov casino,100pudov casino,PL,Tier2,0,0,0,0,0
100pudov casino,100pudov casino,UZ,Tier3,0,0,0,0,0
100pudov casino,100pudovcasino,AR,Tier3,0,0,0,0,0
100pudov casino,100pudovcasino,BR,Tier3,0,0,0,0,0
100pudov casino,100pudovcasino,CZ,Tier2,0,0,0,0,0
100pudov casino,100pudovcasino,DK,Tier1,0,0,0,0,0
100pudov casino,100pudovcasino,ES,Tier1,0,0,0,0,0
100pudov casino,100pudovcasino,FR,Tier2,0,0,0,0,0
100pudov casino,100pudovcasino,GB,Tier1,0,0,0,0,0
100pudov casino,100pudovcasino,HU,Tier2,0,0,0,0,0
100pudov casino,100pudovcasino,IN,Tier3,0,0,0,0,0
100pudov casino,100pudovcasino,IT,Tier1,0,0,0,0,0
100pudov casino,100pudovcasino,JP,Tier2,0,0,0,0,0
100pudov casino,100pudovcasino,MX,Tier3,0,0,0,0,0
100pudov casino,100pudovcasino,NL,Tier1,0,0,0,0,0
100pudov casino,100pudovcasino,PL,Tier2,0,0,0,0,0
100pudov casino,100pudovcasino,UZ,Tier3,0,0,0,0,0
10CRIC,10 CRIC,AR,Tier3,0,0,0,0,0
10CRIC,10 CRIC,BR,Tier3,70,40,-22,0,110
10CRIC,10 CRIC,CZ,Tier2,10,0,0,0,10
10CRIC,10 CRIC,DK,Tier1,10,0,0,0,10
10CRIC,10 CRIC,ES,Tier1,10,10,0,0,20
10CRIC,10 CRIC,FR,Tier2,10,10,0,0,20
10CRIC,10 CRIC,GB,Tier1,30,30,50,0,60
10CRIC,10 CRIC,HU,Tier2,0,0,0,0,0
10CRIC,10 CRIC,IN,Tier3,33100,13000,49,0,46100
10CRIC,10 CRIC,IT,Tier1,10,0,0,0,10
10CRIC,10 CRIC,JP,Tier2,10,0,0,0,10
10CRIC,10 CRIC,MX,Tier3,0,0,0,0,0
10CRIC,10 CRIC,NL,Tier1,10,10,0,0,20
10CRIC,10 CRIC,PL,Tier2,10,0,0,0,10
10CRIC,10 CRIC,UZ,Tier3,0,0,0,0,0
10CRIC,10 CRIC casino,AR,Tier3,0,0,-100,0,0
10CRIC,10 CRIC casino,BR,Tier3,0,10,-100,0,10
10CRIC,10 CRIC casino,CZ,Tier2,10,0,0,0,10
10CRIC,10 CRIC casino,DK,Tier1,0,0,0,0,0
10CRIC,10 CRIC casino,ES,Tier1,10,0,0,0,10
10CRIC,10 CRIC casino,FR,Tier2,0,0,0,0,0
10CRIC,10 CRIC casino,GB,Tier1,10,0,0,0,10
10CRIC,10 CRIC casino,HU,Tier2,0,0,0,0,0
10CRIC,10 CRIC casino,IN,Tier3,720,50,-55,0,770
10CRIC,10 CRIC casino,IT,Tier1,10,0,0,0,10
10CRIC,10 CRIC casino,JP,Tier2,0,0,-100,0,0
10CRIC,10 CRIC casino,MX,Tier3,0,0,0,0,0
10CRIC,10 CRIC casino,NL,Tier1,10,0,0,0,10
10CRIC,10 CRIC casino,PL,Tier2,10,0,0,0,10
10CRIC,10 CRIC casino,UZ,Tier3,0,0,0,0,0
10CRIC,10CRIC,AR,Tier3,10,20,0,0,30
10CRIC,10CRIC,BR,Tier3,30,150,-25,0,180
10CRIC,10CRIC,CZ,Tier2,70,30,250,0,100
10CRIC,10CRIC,DK,Tier1,10,0,0,0,10
10CRIC,10CRIC,ES,Tier1,20,20,100,0,40
10CRIC,10CRIC,FR,Tier2,30,30,50,0,60
10CRIC,10CRIC,GB,Tier1,170,200,55,0,370
10CRIC,10CRIC,HU,Tier2,10,10,0,0,20
10CRIC,10CRIC,IN,Tier3,135000,165000,-55,0,300000
10CRIC,10CRIC,IT,Tier1,10,20,-50,0,30
10CRIC,10CRIC,JP,Tier2,40,40,300,0,80
10CRIC,10CRIC,MX,Tier3,10,10,0,0,20
10CRIC,10CRIC,NL,Tier1,30,50,-40,0,80
10CRIC,10CRIC,PL,Tier2,20,20,100,0,40
10CRIC,10CRIC,UZ,Tier3,10,0,0,0,10
10CRIC,10CRIC casino,AR,Tier3,0,10,-100,0,10
10CRIC,10CRIC casino,BR,Tier3,0,60,-100,0,60
10CRIC,10CRIC casino,CZ,Tier2,10,0,0,0,10
10CRIC,10CRIC casino,DK,Tier1,0,0,0,0,0
10CRIC,10CRIC casino,ES,Tier1,10,10,0,0,20
10CRIC,10CRIC casino,FR,Tier2,0,10,0,0,10
10CRIC,10CRIC casino,GB,Tier1,10,40,0,0,50
10CRIC,10CRIC casino,HU,Tier2,0,0,0,0,0
10CRIC,10CRIC casino,IN,Tier3,720,800,-55,0,1520
10CRIC,10CRIC casino,IT,Tier1,10,10,0,0,20
10CRIC,10CRIC casino,JP,Tier2,0,0,-100,0,0
10CRIC,10CRIC casino,MX,Tier3,0,10,0,0,10
10CRIC,10CRIC casino,NL,Tier1,10,10,0,0,20
10CRIC,10CRIC casino,PL,Tier2,10,0,0,0,10
10CRIC,10CRIC casino,UZ,Tier3,0,0,0,0,0
11 winner,11 winner,AR,Tier3,0,0,-100,0,0
11 winner,11 winner,BR,Tier3,30,30,-25,0,60
11 winner,11 winner,CZ,Tier2,10,0,0,0,10
11 winner,11 winner,DK,Tier1,0,0,-100,0,0
11 winner,11 winner,ES,Tier1,10,0,0,0,10
11 winner,11 winner,FR,Tier2,10,10,-50,0,20
11 winner,11 winner,GB,Tier1,10,10,-67,0,20
11 winner,11 winner,HU,Tier2,0,0,0,0,0
11 winner,11 winner,IN,Tier3,135000,85000,-63,0,220000
11 winner,11 winner,IT,Tier1,10,0,0,0,10
11 winner,11 winner,JP,Tier2,10,0,0,0,10
11 winner,11 winner,MX,Tier3,0,0,-100,0,0
11 winner,11 winner,NL,Tier1,20,0,-33,0,20
11 winner,11 winner,PL,Tier2,10,0,0,0,10
11 winner,11 winner,UZ,Tier3,10,0,0,0,10
11 winner,11 winner casino,AR,Tier3,0,0,0,0,0
11 winner,11 winner casino,BR,Tier3,0,10,-100,0,10
11 winner,11 winner casino,CZ,Tier2,0,0,0,0,0
11 winner,11 winner casino,DK,Tier1,0,0,0,0,0
11 winner,11 winner casino,ES,Tier1,0,0,0,0,0
11 winner,11 winner casino,FR,Tier2,0,0,0,0,0
11 winner,11 winner casino,GB,Tier1,0,10,0,0,10
11 winner,11 winner casino,HU,Tier2,0,0,0,0,0
11 winner,11 winner casino,IN,Tier3,1600,6500,-33,0,8100
11 winner,11 winner casino,IT,Tier1,0,0,0,0,0
11 winner,11 winner casino,JP,Tier2,0,0,0,0,0
11 winner,11 winner casino,MX,Tier3,0,0,0,0,0
11 winner,11 winner casino,NL,Tier1,0,0,0,0,0
11 winner,11 winner casino,PL,Tier2,10,0,0,0,10
11 winner,11 winner casino,UZ,Tier3,0,0,0,0,0
11 winner,11winner,AR,Tier3,0,0,0,0,0
11 winner,11winner,BR,Tier3,0,30,0,0,30
11 winner,11winner,CZ,Tier2,0,0,0,0,0
11 winner,11winner,DK,Tier1,0,0,0,0,0
11 winner,11winner,ES,Tier1,0,0,0,0,0
11 winner,11winner,FR,Tier2,0,0,0,0,0
11 winner,11winner,GB,Tier1,0,10,0,0,10
11 winner,11winner,HU,Tier2,0,0,0,0,0
11 winner,11winner,IN,Tier3,0,9700,0,0,9700
11 winner,11winner,IT,Tier1,0,0,0,0,0
11 winner,11winner,JP,Tier2,0,0,0,0,0
11 winner,11winner,MX,Tier3,0,0,0,0,0
11 winner,11winner,NL,Tier1,0,0,0,0,0
11 winner,11winner,PL,Tier2,0,0,0,0,0
11 winner,11winner,UZ,Tier3,0,0,0,0,0
11 winner,11winner casino,AR,Tier3,0,0,0,0,0
11 winner,11winner casino,BR,Tier3,0,20,0,0,20
11 winner,11winner casino,CZ,Tier2,0,0,0,0,0
11 winner,11winner casino,DK,Tier1,0,0,0,0,0
11 winner,11winner casino,ES,Tier1,0,0,0,0,0
11 winner,11winner casino,FR,Tier2,0,0,0,0,0
11 winner,11winner casino,GB,Tier1,0,0,0,0,0
11 winner,11winner casino,HU,Tier2,0,0,0,0,0
11 winner,11winner casino,IN,Tier3,10,40,0,0,50
11 winner,11winner casino,IT,Tier1,0,0,0,0,0
11 winner,11winner casino,JP,Tier2,0,0,0,0,0
11 winner,11winner casino,MX,Tier3,0,0,0,0,0
11 winner,11winner casino,NL,Tier1,0,0,0,0,0
11 winner,11winner casino,PL,Tier2,0,0,0,0,0
11 winner,11winner casino,UZ,Tier3,0,0,0,0,0
11Croco,11 Croco,AR,Tier3,0,0,0,0,0
11Croco,11 Croco,BR,Tier3,0,0,0,0,0
11Croco,11 Croco,CZ,Tier2,0,0,0,0,0
11Croco,11 Croco,DK,Tier1,0,0,0,0,0
11Croco,11 Croco,ES,Tier1,0,0,0,0,0
11Croco,11 Croco,FR,Tier2,0,0,0,0,0
11Croco,11 Croco,GB,Tier1,10,0,0,0,10
11Croco,11 Croco,HU,Tier2,0,0,0,0,0
11Croco,11 Croco,IN,Tier3,0,0,0,0,0
11Croco,11 Croco,IT,Tier1,0,0,0,0,0
11Croco,11 Croco,JP,Tier2,0,0,0,0,0
11Croco,11 Croco,MX,Tier3,0,0,0,0,0
11Croco,11 Croco,NL,Tier1,0,0,0,0,0
11Croco,11 Croco,PL,Tier2,0,0,0,0,0
11Croco,11 Croco,UZ,Tier3,0,0,0,0,0
11Croco,11 Croco casino,AR,Tier3,10,0,0,0,10
11Croco,11 Croco casino,BR,Tier3,0,0,-100,0,0
11Croco,11 Croco casino,CZ,Tier2,0,0,0,0,0
11Croco,11 Croco casino,DK,Tier1,0,0,0,0,0
11Croco,11 Croco casino,ES,Tier1,10,0,0,0,10
11Croco,11 Croco casino,FR,Tier2,0,0,0,0,0
11Croco,11 Croco casino,GB,Tier1,10,0,0,0,10
11Croco,11 Croco casino,HU,Tier2,0,0,0,0,0
11Croco,11 Croco casino,IN,Tier3,10,0,0,0,10
11Croco,11 Croco casino,IT,Tier1,10,0,0,0,10
11Croco,11 Croco casino,JP,Tier2,0,0,0,0,0
11Croco,11 Croco casino,MX,Tier3,0,0,0,0,0
11Croco,11 Croco casino,NL,Tier1,0,0,-100,0,0
11Croco,11 Croco casino,PL,Tier2,10,0,0,0,10
11Croco,11 Croco casino,UZ,Tier3,0,0,0,0,0
11Croco,11Croco,AR,Tier3,0,0,0,0,0
11Croco,11Croco,BR,Tier3,0,0,0,0,0
11Croco,11Croco,CZ,Tier2,0,0,0,0,0
11Croco,11Croco,DK,Tier1,0,0,0,0,0
11Croco,11Croco,ES,Tier1,0,0,0,0,0
11Croco,11Croco,FR,Tier2,10,0,0,0,10
11Croco,11Croco,GB,Tier1,0,0,0,0,0
11Croco,11Croco,HU,Tier2,10,0,0,0,10
11Croco,11Croco,IN,Tier3,0,0,0,0,0
11Croco,11Croco,IT,Tier1,30,0,200,0,30
11Croco,11Croco,JP,Tier2,0,0,0,0,0
11Croco,11Croco,MX,Tier3,0,0,0,0,0
11Croco,11Croco,NL,Tier1,0,0,0,0,0
11Croco,11Croco,PL,Tier2,10,0,0,0,10
11Croco,11Croco,UZ,Tier3,10,0,0,0,10
11Croco,11Croco casino,AR,Tier3,0,0,0,0,0
11Croco,11Croco casino,BR,Tier3,0,0,0,0,0
11Croco,11Croco casino,CZ,Tier2,0,0,0,0,0
11Croco,11Croco casino,DK,Tier1,0,0,0,0,0
11Croco,11Croco casino,ES,Tier1,0,0,0,0,0
11Croco,11Croco casino,FR,Tier2,0,0,0,0,0
11Croco,11Croco casino,GB,Tier1,0,0,0,0,0
11Croco,11Croco casino,HU,Tier2,0,0,0,0,0
11Croco,11Croco casino,IN,Tier3,0,0,0,0,0
11Croco,11Croco casino,IT,Tier1,0,0,0,0,0
11Croco,11Croco casino,JP,Tier2,0,0,0,0,0
11Croco,11Croco casino,MX,Tier3,0,0,0,0,0
11Croco,11Croco casino,NL,Tier1,0,0,0,0,0
11Croco,11Croco casino,PL,Tier2,0,0,0,0,0
11Croco,11Croco casino,UZ,Tier3,0,0,0,0,0
11bet,11 bet,AR,Tier3,0,0,0,0,0
11bet,11 bet,BR,Tier3,1300,300,-46,2,1600
11bet,11 bet,CZ,Tier2,0,0,0,0,0
11bet,11 bet,DK,Tier1,0,0,0,0,0
11bet,11 bet,ES,Tier1,10,0,0,0,10
11bet,11 bet,FR,Tier2,0,0,-100,0,0
11bet,11 bet,GB,Tier1,10,10,0,0,20
11bet,11 bet,HU,Tier2,0,0,-100,0,0
11bet,11 bet,IN,Tier3,320,200,-56,0,520
11bet,11 bet,IT,Tier1,0,0,-100,0,0
11bet,11 bet,JP,Tier2,70,30,40,0,100
11bet,11 bet,MX,Tier3,10,0,0,0,10
11bet,11 bet,NL,Tier1,10,0,0,0,10
11bet,11 bet,PL,Tier2,10,0,0,0,10
11bet,11 bet,UZ,Tier3,20,0,0,0,20
11bet,11 bet casino,AR,Tier3,0,0,0,0,0
11bet,11 bet casino,BR,Tier3,10,0,0,2,10
11bet,11 bet casino,CZ,Tier2,0,0,0,0,0
11bet,11 bet casino,DK,Tier1,0,0,0,0,0
11bet,11 bet casino,ES,Tier1,0,0,0,0,0
11bet,11 bet casino,FR,Tier2,0,0,0,0,0
11bet,11 bet casino,GB,Tier1,0,0,0,0,0
11bet,11 bet casino,HU,Tier2,0,0,0,0,0
11bet,11 bet casino,IN,Tier3,30,0,200,0,30
11bet,11 bet casino,IT,Tier1,0,0,0,0,0
11bet,11 bet casino,JP,Tier2,0,0,0,0,0
11bet,11 bet casino,MX,Tier3,0,0,0,0,0
11bet,11 bet casino,NL,Tier1,10,0,0,0,10
11bet,11 bet casino,PL,Tier2,0,0,0,0,0
11bet,11 bet casino,UZ,Tier3,0,0,0,0,0
11bet,11bet,AR,Tier3,10,0,-50,0,10
11bet,11bet,BR,Tier3,14800,2500,-33,2,17300
11bet,11bet,CZ,Tier2,10,10,0,0,20
11bet,11bet,DK,Tier1,10,10,0,0,20
11bet,11bet,ES,Tier1,10,10,0,0,20
11bet,11bet,FR,Tier2,10,20,0,0,30
11bet,11bet,GB,Tier1,210,70,0,0,280
11bet,11bet,HU,Tier2,10,10,-80,0,20
11bet,11bet,IN,Tier3,720,300,-55,0,1020
11bet,11bet,IT,Tier1,10,30,0,0,40
11bet,11bet,JP,Tier2,480,200,-19,0,680
11bet,11bet,MX,Tier3,10,10,0,0,20
11bet,11bet,NL,Tier1,40,20,-20,0,60
11bet,11bet,PL,Tier2,90,30,-18,0,120
11bet,11bet,UZ,Tier3,10,0,0,0,10
11bet,11bet casino,AR,Tier3,0,0,0,0,0
11bet,11bet casino,BR,Tier3,260,150,-46,2,410
11bet,11bet casino,CZ,Tier2,0,0,0,0,0
11bet,11bet casino,DK,Tier1,0,0,0,0,0
11bet,11bet casino,ES,Tier1,10,0,0,0,10
11bet,11bet casino,FR,Tier2,0,0,0,0,0
11bet,11bet casino,GB,Tier1,0,0,-100,0,0
11bet,11bet casino,HU,Tier2,0,0,0,0,0
11bet,11bet casino,IN,Tier3,10,10,0,0,20
11bet,11bet casino,IT,Tier1,0,0,0,0,0
11bet,11bet casino,JP,Tier2,0,0,0,0,0
11bet,11bet casino,MX,Tier3,10,0,0,0,10
11bet,11bet casino,NL,Tier1,0,0,0,0,0
11bet,11bet casino,PL,Tier2,0,0,0,0,0
11bet,11bet casino,UZ,Tier3,0,0,0,0,0
11deck casino,11deck casino,AR,Tier3,0,0,0,0,0
11deck casino,11deck casino,BR,Tier3,0,0,0,0,0
11deck casino,11deck casino,CZ,Tier2,0,0,0,0,0
11deck casino,11deck casino,DK,Tier1,0,0,0,0,0
11deck casino,11deck casino,ES,Tier1,0,0,0,0,0
